"","date","registered","casual","total_rentals","latitude","longitude","Temp","Wind","Humidity","Barometer","Visibility","Weather","Year","Month","day","Weekday","season","holiday","workinday"
"1",2020-04-01,1355,410,1765,38.9041477459597,-77.0340799423377,47.6451612903226,12.3870967741935,68.5483870967742,29.8264516129032,10,"Mostly cloudy.",2020,4,1,1,"Spring",0,1
"2",2020-04-02,1565,520,2085,38.9051246861464,-77.0376457909445,53.7083333333333,15.7083333333333,37.9166666666667,29.8745833333333,10,"Clear.",2020,4,2,1,"Spring",0,1
"3",2020-04-03,1814,679,2493,38.9044196195849,-77.039204978175,56.84,17.76,38.24,29.8284,10,"Scattered clouds.",2020,4,3,1,"Spring",0,1
"4",2020-04-04,1965,1195,3160,38.9021661825294,-77.0390736057302,54.2083333333333,8.42857142857143,64.2916666666667,30.0079166666667,10,"Overcast.",2020,4,4,0,"Spring",0,0
"5",2020-04-05,2523,1929,4452,38.9021660756969,-77.0397204643545,57.25,6.36363636363636,71.6666666666667,30.0583333333333,9.95833333333333,"Partly sunny.",2020,4,5,0,"Spring",0,0
"6",2020-04-06,1915,955,2870,38.9019756722804,-77.0401468316583,62.0416666666667,7.65217391304348,51.9166666666667,30.0295833333333,10,"Passing clouds.",2020,4,6,1,"Spring",0,1
"7",2020-04-07,1425,555,1980,38.9023614911643,-77.0357359057525,60.8214285714286,6.34615384615385,75.7857142857143,29.8846428571429,9.46428571428571,"Passing clouds.",2020,4,7,1,"Spring",0,1
"8",2020-04-08,2007,1196,3203,38.9033385272482,-77.0390396615297,66.25,8.69565217391304,67.0416666666667,29.605,9.91666666666667,"Passing clouds.",2020,4,8,1,"Spring",1,0
"9",2020-04-09,1361,546,1907,38.9032908107786,-77.036012854521,59.9642857142857,16.7307692307692,60.9285714285714,29.4478571428571,9.67857142857143,"Passing clouds.",2020,4,9,1,"Spring",0,1
"10",2020-04-10,1161,442,1603,38.9062026316924,-77.0337292966213,47.25,17.5416666666667,36,29.7125,10,"Partly sunny.",2020,4,10,1,"Spring",0,1
"11",2020-04-11,2313,1774,4087,38.902505526178,-77.0381303513253,51.8,8.88,42.6,30.0088,10,"Passing clouds.",2020,4,11,0,"Spring",0,0
"12",2020-04-12,1949,1305,3254,38.9011463891762,-77.0396555558587,58.5833333333333,8.81818181818182,64.875,30.0566666666667,9.75,"Partly sunny.",2020,4,12,0,"Spring",0,0
"13",2020-04-13,1198,539,1737,38.9020338369375,-77.0389111690379,66.6829268292683,14.15,77.4390243902439,29.649756097561,7.29268292682927,"Passing clouds.",2020,4,13,1,"Spring",0,1
"14",2020-04-14,1441,648,2089,38.9032955194357,-77.0363722023316,51.7916666666667,11.5,49.0416666666667,30.0820833333333,9.66666666666667,"Partly sunny.",2020,4,14,1,"Spring",0,1
"15",2020-04-15,1617,668,2285,38.9041873133244,-77.0354668320432,44.7586206896552,9.57692307692308,62.6206896551724,30.0562068965517,9.55172413793103,"Passing clouds.",2020,4,15,1,"Spring",0,1
"16",2020-04-16,1467,614,2081,38.9046186182512,-77.0336785096914,47.4166666666667,11.625,41.9583333333333,30.18,10,"Passing clouds.",2020,4,16,1,"Spring",0,1
"17",2020-04-17,1525,652,2177,38.9033950542142,-77.0348548693374,50,8.55,54.5416666666667,30.1675,10,"Passing clouds.",2020,4,17,1,"Spring",0,1
"18",2020-04-18,1624,1014,2638,38.9038585118753,-77.036892478521,50.4166666666667,11.0909090909091,63.1666666666667,29.8666666666667,9.79166666666667,"Scattered clouds.",2020,4,18,0,"Spring",0,0
"19",2020-04-19,2448,2244,4692,38.900410633907,-77.0401590808796,53.5833333333333,8.43478260869565,55.4583333333333,29.9020833333333,10,"Clear.",2020,4,19,0,"Spring",0,0
"20",2020-04-20,1515,810,2325,38.9047587786469,-77.0373697267232,56.4347826086956,7.8,63.6086956521739,29.6617391304348,10,"Overcast.",2020,4,20,1,"Spring",0,1
"21",2020-04-21,1290,619,1909,38.904574766142,-77.0372723110654,56.8214285714286,15.8928571428571,57.1071428571429,29.6267857142857,9.78571428571429,"Passing clouds.",2020,4,21,1,"Spring",0,1
"22",2020-04-22,1745,975,2720,38.9026954365224,-77.0348680150993,50.7916666666667,11.0909090909091,33.2916666666667,29.9879166666667,10,"Passing clouds.",2020,4,22,1,"Spring",0,1
"23",2020-04-23,905,370,1275,38.903764375175,-77.0352238035861,54.1379310344828,6.03846153846154,72.3448275862069,29.9475862068966,7.06896551724138,"Light rain. Fog.",2020,4,23,1,"Spring",0,1
"24",2020-04-24,1275,562,1837,38.9045518362363,-77.0343515620976,54.8378378378378,8.48648648648649,88.6216216216216,29.71,7.75675675675676,"Overcast.",2020,4,24,1,"Spring",0,1
"25",2020-04-25,2556,2170,4726,38.9016062027665,-77.0374001417827,54.9,7.19047619047619,79.2333333333333,30.0013333333333,9.56666666666667,"Overcast.",2020,4,25,0,"Spring",0,0
"26",2020-04-26,1216,625,1841,38.9016154742381,-77.0358930567109,52.9722222222222,8.27272727272727,91.8888888888889,29.8041666666667,7.83333333333333,"Overcast.",2020,4,26,0,"Spring",0,0
"27",2020-04-27,1424,626,2050,38.9036848672922,-77.0360884117664,50.5588235294118,13.3529411764706,72.9411764705882,29.9602941176471,8.94117647058824,"Light rain. Mostly cloudy.",2020,4,27,1,"Spring",0,1
"28",2020-04-28,1200,491,1691,38.9041403885376,-77.0323733761086,51.68,5.90476190476191,72.12,30.1672,10,"",2020,4,28,1,"Spring",0,1
